idsbr;nama_usaha;alamat;kdprov;kdkab;kdkec;kddesa;latitude;longitude;kbli;deskripsi_usaha;foto_usaha;foto_produk;catatan;petugas_id
42827409;MOTION NOTION PERDANA;Jl. Garuda No.23, RT. 02, Lubuk Aman, Lubuklinggau Barat 1, Lubuklinggau, Sumatera Selatan;16;74;011;006;;;;;;;;
42828556;TRIKARYA ANTASYAH PERSADA;Jl. Perbakin;16;74;011;001;;;;;;;;
42828348;ONREZ AGRO TANI;Jalan Perumdam;16;74;011;003;;;;;;;;
42828460;HASIL ALAM SUMATRA;JL. DEPATI SAID GG.SERUMPUN I NO.64;16;74;011;007;;;;;;;;
42829235;SEKOLAH BISNIS ALAZHAAR;Jln. Pelita No.364;16;74;011;007;;;;;;;;
42830179;MULIA FITRAH ABADI;jl. kamboja no 447;16;74;011;004;;;;;;;;
42829971;RISKY AKBAR SEJAHTERA;Jl. Ketitiran;16;74;011;008;;;;;;;;
42829220;SMKANDA LUBUKLINGGAU BISA;Jalan Garuda No.210;16;74;011;006;;;;;;;;
42830090;HARRY FAMS;Jalan Pembangunan;16;74;011;006;;;;;;;;
42830769;ELFATIH JAYA PERKASA;Jalan Garuda, Rukun Tetangga 008, Kelurahan Bandung Ujung, Kecamatan Lubuklinggau Barat I, Kota Lubuklinggau, Provinsi Sumatera Selatan.;16;74;011;008;;;;;;;;
42830898;ALREFAZA JAYA MANDIRI;JALAN SELATAN;16;74;011;006;;;;;;;;
42830836;NATASYA JELITA PUTRI;JALAN RAMIN BLOK G NOMOR 37;16;74;011;005;;;;;;;;
42831901;LENTERA TERANG SEJATI;Perumahan Bukit Hijau, Jalan Cek Dam;16;74;011;010;;;;;;;;
42831254;KERAK KETAN MAK WIK;JL. GARUDA NO. 200;16;74;011;001;;;;;;;;
42832208;HABIBIE CENTER INTERTAIMENT;Jl. Jend. Pol Moch Hasan;16;74;011;011;;;;;;;;
42832080;DIANA UTAMA PUTRI;Jalan Patimura, Rukun Tetangga 007, Kelurahan Sukajadi, Kecamatan, Lubuk linggau Barat I, Kota Lubuk Linggau, Provinsi Sumatera Selatan;16;74;011;010;;;;;;;;
42832760;AMRI BUMI PERSADA;JALAN GARUDA, NOMOR 51;16;74;011;003;;;;;;;;
42832867;RKS SUKSES MANDIRI;JALAN HAJI MATNUR PERUMAHAN LEMATANG ENIM BLOK F 7;16;74;011;011;;;;;;;;
42832922;BOS MUDA KONTRAKTOR;Jalan Beringin Nomor 50, Blok A;16;74;011;005;;;;;;;;
42833403;DANAU WISATA RELIGI ALAZHAAR;Jalan Pelita No. 365 Kel. Pelita Jaya RT.07 Kec. Lubuklinggau Barat I Kota Lubuklinggau;16;74;011;007;;;;;;;;
42834181;IKO FARMA SEJAHTERA LINGGAU;PERUMAHAN GREEN GARDEN BLOK J 1;16;74;011;001;;;;;;;;
42834409;HIDAYAH GEMILANG MANDIRI;Jl depati said no.09;16;74;011;007;;;;;;;;
