COUNTA of KDWIL,SKALA USAHA,,,
KDWIL,UB,UM,UMK,Grand Total
1674,,,8,8
1674011,,,2,2
1674011001,,,2,2
1674011001000100,,,70,70
1674011001000200,,,28,28
1674011001000300,,,155,155
1674011001000400,,,28,28
1674011001000500,,,28,28
1674011001000601,,,20,20
1674011001000602,,,24,24
1674011002000100,,1,29,30
1674011002000200,,,28,28
1674011002000300,,,24,24
1674011002000400,,,94,94
1674011003,,,1,1
1674011003000101,,,69,69
1674011003000102,,,44,44
1674011003000201,,,14,14
1674011003000202,,,49,49
1674011003000301,,,55,55
1674011003000302,,2,303,305
1674011003000400,,,70,70
1674011003000500,,2,183,185
1674011003000601,,,53,53
1674011003000602,,,161,161
1674011003000603,,,35,35
1674011003000604,,,7,7
1674011003000701,1,,37,38
1674011003000702,,,27,27
1674011003000801,,,17,17
1674011003000802,,,27,27
1674011003000803,,,8,8
1674011003000804,,,30,30
1674011004,,,1,1
1674011004000100,,,29,29
1674011004000201,,,56,56
1674011004000202,,,39,39
1674011004000300,,,79,79
1674011004000401,,,48,48
1674011004000402,,,49,49
1674011004000500,,,73,73
1674011004000600,,,31,31
1674011005,,,1,1
1674011005000100,,,15,15
1674011005000200,,,40,40
1674011005000300,,,83,83
1674011005000400,,2,13,15
1674011005000500,,1,8,9
1674011005000600,,,28,28
1674011005000700,,,15,15
1674011005000800,,4,309,313
1674011005000900,,,30,30
1674011005001000,,,75,75
1674011005001100,,,5,5
1674011006000100,,,33,33
1674011006000200,1,1,43,45
1674011006000300,1,1,46,48
1674011006000400,,1,35,36
1674011006000500,,,72,72
1674011006000601,,,50,50
1674011006000602,,,22,22
1674011007,,,1,1
1674011007000100,,,59,59
1674011007000200,,,35,35
1674011007000300,,,59,59
1674011007000400,,,32,32
1674011007000500,,,35,35
1674011007000600,,,45,45
1674011007000701,,1,36,37
1674011007000702,,,52,52
1674011007000703,,,80,80
1674011008,,1,,1
1674011008000100,,1,54,55
1674011008000200,,,38,38
1674011008000300,,,24,24
1674011008000400,,,39,39
1674011008000500,,1,20,21
1674011008000600,,,31,31
1674011008000700,,,43,43
1674011008000800,,1,162,163
1674011008000901,,2,50,52
1674011008000902,1,2,50,53
1674011008001000,1,1,432,434
1674011009,,,2,2
1674011009000101,,,38,38
1674011009000102,,,26,26
1674011009000200,,,95,95
1674011009000300,,2,74,76
1674011009000400,,,19,19
1674011009000500,,,34,34
1674011009000600,,,63,63
1674011009000700,,,74,74
1674011010,,,1,1
1674011010000100,,,51,51
1674011010000200,,,60,60
1674011010000300,,,77,77
1674011010000400,,,57,57
1674011010000500,,,61,61
1674011010000600,,,42,42
1674011010000700,,1,198,199
1674011010000801,,,39,39
1674011010000802,,,13,13
1674011010000803,,,65,65
1674011010000901,,,21,21
1674011010000902,,,72,72
1674011011000101,,,32,32
1674011011000102,,,64,64
1674011011000200,,,59,59
1674011011000300,1,,50,51
1674011011000400,,,31,31
1674011011000500,,1,36,37
1674011011000600,,,17,17
1674011011000701,,,21,21
1674011011000702,,,36,36
1674011011000703,,,9,9
1674011011000801,,,28,28
1674011011000802,,,22,22
1674011011000803,,,58,58
1674011011000901,,,21,21
1674011011000902,,,63,63
1674011011001001,,,23,23
1674011011001002,,,28,28
1674011011001101,,,41,41
1674011011001102,,1,39,40
1674012,,1,10,11
1674012001,,1,1,2
1674012001000100,,,39,39
1674012001000200,,,32,32
1674012001000300,,1,134,135
1674012001000400,,,27,27
1674012001000500,1,,32,33
1674012001000600,,,63,63
1674012001000700,,,29,29
1674012001000800,,1,71,72
1674012001000900,,,44,44
1674012001001000,,,49,49
1674012001001101,,,28,28
1674012001001102,,,48,48
1674012001001200,,,54,54
1674012001100100,,,3,3
1674012002000101,,,65,65
1674012002000102,,,77,77
1674012002000200,,,77,77
1674012002000300,,,50,50
1674012002000400,,,19,19
1674012002000500,,,16,16
1674012002200100,,,66,66
1674012003,,,1,1
1674012003000101,,,44,44
1674012003000102,,,131,131
